eps_11,eps_22,gam_12,sig_11,sig_22,sig_12
-7.188207736790871e-10,-1.489988966017139e-09,1.6704006896141983e-09,-76.44661419727869,-139.84738655481772,47.4545650458579
120,61,76,120,61,76
