eps_11,eps_22,gam_12,sig_11,sig_22,sig_12
-1.6929461104103913e-09,-4.532829206940545e-09,-5.00161715734004e-09,-198.80832629264364,-411.50956949639317,-142.09139651534207
28,10,19,28,10,19
