eps_11,eps_22,gam_12,sig_11,sig_22,sig_12
1.960338887371943e-11,-4.909821235004215e-11,-6.037476274750747e-11,-2.605839969666065,-4.90604736474986,-1.7151921235087348
3872,4000,4129,4129,4000,4129
