eps_11,eps_22,gam_12,sig_11,sig_22,sig_12
2.6541989463878196e-09,-6.839623033594253e-09,6.5736108587669886e-09,-237.76586209435453,-599.9999999999986,186.75030848769853
5,5,11,14,1,11
