eps_11,eps_22,gam_12,sig_11,sig_22,sig_12
-1.2599661398669615e-10,-2.4802748146193266e-10,-2.6607329990204177e-10,-12.730644446141646,-24.647797753386634,-7.558900565398913
1008,488,521,1008,488,521
