eps_11,eps_22,gam_12,sig_11,sig_22,sig_12
3.774118927994825e-09,-1.2324793991574039e-08,1.0560000000000007e-08,-361.6487941097277,-1200.0000000000018,300.0000000000001
5,1,7,1,1,7
