eps_11,eps_22,gam_12,sig_11,sig_22,sig_12
-1.1301512462202866e-09,-2.3684479074028895e-09,-2.4978031555807506e-09,-128.77167129822462,-220.48280491352145,-70.96031691990767
61,31,43,61,31,43
