eps_11,eps_22,gam_12,sig_11,sig_22,sig_12
-4.292090880756493e-10,-7.725502564925386e-10,-8.280788702018509e-10,-44.625933211973084,-74.69662611945253,-23.524967903461675
248,116,149,248,116,149
