eps_11,eps_22,gam_12,sig_11,sig_22,sig_12
-7.698905794775178e-12,-1.5773905139871808e-11,2.0404203018706578e-11,-0.9893142996334033,-1.6030424544204194,0.5796648584859824
16576,16321,16576,16576,16321,16576
